Unnamed: 0,Ground Name,City,District,Province,Ground Type,Pitch,Length,Width,Lights,Parking,Washrooms,Pavilion,Scoreboard,Rooms,Parking Cap.,Price (LKR),Rating
25.0,Ampara Urban Council Ground,Ampara,Ampara,Eastern,Public,matting,116.0,112.0,No,Yes,Yes,No,Yes,1.0,12.0,8264.0,2.0
26.0,Anuradhapura Central College Ground,Anuradhapura,Anuradhapura,North Central,School,matting,110.0,93.0,No,Yes,Yes,Yes,No,2.0,42.0,33190.0,3.0
27.0,Anuradhapura Public Ground,Anuradhapura,Anuradhapura,North Central,Public,matting,125.0,104.0,No,Yes,Yes,No,Yes,1.0,17.0,15497.0,2.0
28.0,Anuradhapura Sports Club Ground,Anuradhapura,Anuradhapura,North Central,Club,turf,140.0,147.0,Yes,Yes,Yes,Yes,Yes,2.0,238.0,167281.0,5.0
29.0,Anuradhapura Stadium,Anuradhapura,Anuradhapura,North Central,Public,turf,149.0,146.0,Yes,Yes,Yes,Yes,Yes,2.0,285.0,175809.0,5.0
30.0,Anuradhapura Urban Council Ground,Anuradhapura,Anuradhapura,North Central,Public,matting,117.0,109.0,No,Yes,Yes,No,Yes,1.0,39.0,17585.0,3.0
31.0,Athurugiriya Ground,Athurugiriya,Colombo,Western,Public,matting,108.0,112.0,No,Yes,Yes,No,Yes,1.0,17.0,3804.0,2.0
32.0,Athurugiriya Sports Ground,Athurugiriya,Colombo,Western,Public,matting,128.0,99.0,No,Yes,Yes,No,Yes,1.0,10.0,9848.0,3.0
33.0,Baddegama Christ Church College Grounds,Baddegama,Galle,Southern,School,matting,119.0,103.0,No,Yes,Yes,Yes,No,2.0,26.0,37605.0,3.0
34.0,Baddegama Public Ground,Baddegama,Galle,Southern,Public,matting,125.0,121.0,No,Yes,Yes,No,Yes,1.0,13.0,4949.0,2.0
35.0,Badulla Cricket Ground,Badulla,Badulla,Uva,Public,matting,111.0,115.0,No,Yes,Yes,No,Yes,1.0,15.0,17618.0,3.0
36.0,Badulla Esplanade,Badulla,Badulla,Uva,Public,turf,131.0,137.0,Yes,Yes,Yes,Yes,Yes,2.0,177.0,194669.0,5.0
37.0,Badulla Sports Club Ground,Badulla,Badulla,Uva,Club,turf,132.0,135.0,Yes,Yes,Yes,Yes,Yes,2.0,172.0,112799.0,5.0
38.0,Badulla Urban Council Ground,Badulla,Badulla,Uva,Public,matting,121.0,98.0,No,Yes,Yes,No,Yes,1.0,32.0,11623.0,3.0
39.0,Bakamuna Atharagallewa MV Ground,Bakamuna,Polonnaruwa,North Central,School,matting,118.0,101.0,No,Yes,Yes,Yes,No,2.0,33.0,17164.0,3.0
40.0,Bakamuna Mahaweli Ground,Bakamuna,Polonnaruwa,North Central,Public,matting,128.0,93.0,No,Yes,Yes,No,Yes,1.0,11.0,17934.0,3.0
41.0,Balangoda Ananda Maithre College Grounds,Balangoda,Ratnapura,Sabaragamuwa,School,matting,114.0,112.0,No,Yes,Yes,Yes,No,2.0,38.0,40647.0,3.0
42.0,Balangoda District Ground,Balangoda,Ratnapura,Sabaragamuwa,Public,matting,119.0,119.0,No,Yes,Yes,No,Yes,1.0,10.0,13464.0,2.0
43.0,Balangoda Public Ground,Balangoda,Ratnapura,Sabaragamuwa,Public,matting,108.0,102.0,No,Yes,Yes,No,Yes,1.0,19.0,6702.0,2.0
44.0,Balangoda Sports Club Ground,Balangoda,Ratnapura,Sabaragamuwa,Club,turf,139.0,146.0,Yes,Yes,Yes,Yes,Yes,2.0,148.0,150303.0,5.0
45.0,Balapitiya Ground,Balapitiya,Galle,Southern,Public,matting,104.0,114.0,No,Yes,Yes,No,Yes,1.0,21.0,7531.0,2.0
46.0,Balapitiya Teachers Training College Ground,Balapitiya,Galle,Southern,School,matting,120.0,96.0,No,Yes,Yes,Yes,No,2.0,23.0,15511.0,3.0
47.0,Bandaragama Grounds,Bandaragama,Kalutara,Western,Public,matting,107.0,118.0,No,Yes,Yes,No,Yes,1.0,11.0,4189.0,2.0
48.0,Bandaragama Sports Club Ground,Bandaragama,Kalutara,Western,Club,matting,130.0,107.0,No,Yes,Yes,Yes,Yes,2.0,69.0,46784.0,4.0
49.0,Bandaragama Urban Council Ground,Bandaragama,Kalutara,Western,Public,matting,108.0,114.0,No,Yes,Yes,No,Yes,1.0,14.0,19825.0,3.0
50.0,Batticaloa Municipal Ground,Batticaloa,Batticaloa,Eastern,Public,matting,111.0,118.0,No,Yes,Yes,No,Yes,1.0,15.0,5706.0,2.0
51.0,Batticaloa Public Ground,Batticaloa,Batticaloa,Eastern,Public,matting,100.0,96.0,No,Yes,Yes,No,Yes,1.0,19.0,8220.0,3.0
52.0,Batticaloa Shivananda School Ground,Batticaloa,Batticaloa,Eastern,School,matting,128.0,100.0,No,Yes,Yes,Yes,No,2.0,25.0,40528.0,3.0
53.0,Batticaloa Sports Club Ground,Batticaloa,Batticaloa,Eastern,Club,matting,125.0,100.0,No,Yes,Yes,Yes,Yes,2.0,23.0,34456.0,4.0
54.0,Batticaloa Stadium,Batticaloa,Batticaloa,Eastern,Public,turf,144.0,148.0,Yes,Yes,Yes,Yes,Yes,2.0,230.0,126683.0,5.0
55.0,Batticaloa Urban Council Ground,Batticaloa,Batticaloa,Eastern,Public,matting,105.0,119.0,No,Yes,Yes,No,Yes,1.0,13.0,15199.0,3.0
56.0,Bentota Gamini College Play Ground,Bentota,Galle,Southern,School,matting,116.0,100.0,No,Yes,Yes,Yes,No,2.0,20.0,19755.0,3.0
57.0,Bentota Public Ground,Bentota,Galle,Southern,Public,matting,119.0,97.0,No,Yes,Yes,No,Yes,1.0,28.0,5299.0,2.0
58.0,Bentota Sports Ground,Bentota,Galle,Southern,Public,matting,112.0,118.0,No,Yes,Yes,No,Yes,1.0,30.0,16713.0,3.0
59.0,Bogambara Recreation Grounds,Kandy,Kandy,Central,Public,turf,142.0,145.0,Yes,Yes,Yes,Yes,Yes,2.0,238.0,99787.0,5.0
60.0,Boralesgamuwa Public Ground,Colombo,Colombo,Western,Public,matting,124.0,117.0,No,Yes,Yes,No,Yes,1.0,18.0,13346.0,3.0
61.0,Borella Campbell Park,Borella,Colombo,Western,Public,turf,135.0,144.0,Yes,Yes,Yes,Yes,Yes,2.0,250.0,186205.0,5.0
62.0,Bulathsinhala Olympic Sky Country Club Ground,Bulathsinhala,Kalutara,Western,Club,matting,122.0,98.0,No,Yes,Yes,Yes,Yes,2.0,52.0,19619.0,4.0
63.0,Bulathsinhala Public Ground,Bulathsinhala,Kalutara,Western,Public,matting,100.0,96.0,No,Yes,Yes,No,Yes,1.0,11.0,17652.0,3.0
64.0,Buttala Pelawatta Grounds,Buttala,Monaragala,Uva,Public,matting,123.0,117.0,No,Yes,Yes,No,Yes,1.0,16.0,18264.0,3.0
65.0,Buttala Public Ground,Buttala,Monaragala,Uva,Public,matting,111.0,98.0,No,Yes,Yes,No,Yes,1.0,12.0,16404.0,2.0
66.0,Central College Ground,Galagedara,Kandy,Central,School,matting,122.0,93.0,No,Yes,Yes,Yes,No,2.0,41.0,44789.0,3.0
67.0,Chenkalady Eastern University Ground,Chenkalady,Batticaloa,Eastern,School,matting,108.0,100.0,No,Yes,Yes,Yes,No,2.0,21.0,37602.0,3.0
68.0,Chenkalady Public Ground,Chenkalady,Batticaloa,Eastern,Public,matting,110.0,96.0,No,Yes,Yes,No,Yes,1.0,19.0,12737.0,2.0
69.0,Chilaw District Ground,Chilaw,Puttalam,North Western,Public,matting,122.0,109.0,No,Yes,Yes,No,Yes,1.0,18.0,11026.0,3.0
70.0,Chilaw Esplanade,Chilaw,Puttalam,North Western,Public,turf,148.0,141.0,Yes,Yes,Yes,Yes,Yes,2.0,161.0,115365.0,5.0
71.0,Chilaw Stadium,Chilaw,Puttalam,North Western,Public,turf,146.0,139.0,Yes,Yes,Yes,Yes,Yes,2.0,136.0,177810.0,5.0
72.0,Chilaw Urban Council Ground,Chilaw,Puttalam,North Western,Public,matting,124.0,93.0,No,Yes,Yes,No,Yes,1.0,20.0,17781.0,3.0
73.0,Chilaw Marians Cricket Club Ground,Katunayake,Gampaha,Western,Club,turf,142.0,145.0,Yes,Yes,Yes,Yes,Yes,2.0,131.0,159025.0,5.0
74.0,Colombo (Galle Face) Green,Colombo,Colombo,Western,Public,matting,120.0,104.0,No,Yes,Yes,No,Yes,1.0,20.0,13861.0,2.0
75.0,Colombo Ace Capital Cricket Club Ground,Colombo,Colombo,Western,Club,turf,136.0,147.0,Yes,Yes,Yes,Yes,Yes,2.0,127.0,153892.0,5.0
76.0,Colombo Air Force Ground,Colombo,Colombo,Western,Club,turf,133.0,144.0,Yes,Yes,Yes,Yes,Yes,2.0,141.0,184781.0,5.0
77.0,Colombo Ananda College Ground,Colombo,Colombo,Western,School,turf,132.0,133.0,Yes,Yes,Yes,Yes,Yes,2.0,55.0,81950.0,5.0
78.0,Colombo Barrack Square Grounds,Colombo,Colombo,Western,Public,matting,129.0,112.0,No,Yes,Yes,No,Yes,1.0,19.0,19979.0,3.0
79.0,Colombo Bloomfield Cricket & Athletic Club Ground,Colombo,Colombo,Western,Club,turf,134.0,141.0,Yes,Yes,Yes,Yes,Yes,2.0,101.0,146554.0,5.0
80.0,Colombo Burgher Recreation Club Ground,Colombo,Colombo,Western,Club,turf,147.0,140.0,Yes,Yes,Yes,Yes,Yes,2.0,266.0,170999.0,5.0
81.0,Colombo Colts Cricket Club Ground,Colombo,Colombo,Western,Club,turf,140.0,143.0,Yes,Yes,Yes,Yes,Yes,2.0,143.0,158279.0,5.0
82.0,Colombo Cricket Club Ground,Colombo,Colombo,Western,Club,turf,145.0,146.0,Yes,Yes,Yes,Yes,Yes,2.0,237.0,186742.0,5.0
83.0,Colombo DS Senanayake College Ground,Colombo,Colombo,Western,School,turf,138.0,142.0,Yes,Yes,Yes,Yes,Yes,2.0,77.0,134785.0,5.0
84.0,Colombo Defence Ground,Ratmalana,Colombo,Western,Public,matting,106.0,118.0,No,Yes,Yes,No,Yes,1.0,14.0,18579.0,3.0
85.0,Colombo Galle Face Green,Colombo,Colombo,Western,Public,matting,123.0,119.0,No,Yes,Yes,No,Yes,1.0,11.0,14614.0,3.0
86.0,Colombo Health Ground,Colombo,Colombo,Western,Public,matting,122.0,110.0,No,Yes,Yes,No,Yes,1.0,17.0,10298.0,2.0
87.0,Colombo Malay Cricket Club Ground,Colombo,Colombo,Western,Club,turf,132.0,139.0,Yes,Yes,Yes,Yes,Yes,2.0,119.0,108073.0,5.0
88.0,Colombo Moors Sports Club Ground,Colombo,Colombo,Western,Club,turf,131.0,134.0,Yes,Yes,Yes,Yes,Yes,2.0,163.0,111562.0,4.0
89.0,Colombo Municipal Council Ground,Kotte,Colombo,Western,Public,matting,121.0,118.0,No,Yes,Yes,No,Yes,1.0,15.0,19586.0,3.0
90.0,Colombo Nalanda College Ground,Colombo,Colombo,Western,School,turf,137.0,130.0,Yes,Yes,Yes,Yes,Yes,2.0,84.0,100085.0,5.0
91.0,Colombo Nondescripts Cricket Club Ground,Colombo,Colombo,Western,Club,turf,148.0,148.0,Yes,Yes,Yes,Yes,Yes,2.0,116.0,176459.0,5.0
92.0,Colombo P Sara Oval,Colombo,Colombo,Western,Public,turf,144.0,144.0,Yes,Yes,Yes,Yes,Yes,2.0,250.0,185582.0,5.0
93.0,Colombo Police Park Ground,Colombo,Colombo,Western,Public,turf,141.0,142.0,Yes,Yes,Yes,Yes,Yes,2.0,193.0,197470.0,5.0
94.0,Colombo Railway Ground,Colombo,Colombo,Western,Public,matting,124.0,119.0,No,Yes,Yes,No,Yes,1.0,28.0,18770.0,3.0
95.0,Colombo R Premadasa Stadium,Colombo,Colombo,Western,Public,turf,149.0,150.0,Yes,Yes,Yes,Yes,Yes,2.0,219.0,184888.0,5.0
96.0,Colombo Racquet Court,Colombo,Colombo,Western,Public,matting,108.0,118.0,No,Yes,Yes,No,Yes,1.0,25.0,19843.0,3.0
97.0,Colombo Sinhalese Sports Club Ground,Colombo,Colombo,Western,Club,turf,143.0,147.0,Yes,Yes,Yes,Yes,Yes,2.0,155.0,183654.0,5.0
98.0,Colombo University Ground,Colombo,Colombo,Western,School,matting,115.0,108.0,No,Yes,Yes,Yes,No,2.0,31.0,28479.0,3.0
99.0,Colombo Vihara Mahadevi Park,Colombo,Colombo,Western,Public,matting,129.0,108.0,No,Yes,Yes,No,Yes,1.0,22.0,8453.0,3.0
100.0,Colombo Wesley College Ground,Colombo,Colombo,Western,School,turf,130.0,143.0,Yes,Yes,Yes,Yes,Yes,2.0,79.0,121194.0,5.0
101.0,Dambulla Rangiri Dambulla International Stadium,Dambulla,Matale,Central,Public,turf,148.0,148.0,Yes,Yes,Yes,Yes,Yes,2.0,293.0,135187.0,5.0
102.0,Darrawella Cricket Club Ground,Darrawella,Nuwara Eliya,Central,Club,turf,139.0,146.0,Yes,Yes,Yes,Yes,Yes,2.0,151.0,131567.0,5.0
103.0,Debarawewa MMV Ground,Debarawewa,Hambantota,Southern,School,matting,117.0,94.0,No,Yes,Yes,Yes,No,2.0,35.0,21452.0,3.0
104.0,Debarawewa Public Ground,Debarawewa,Hambantota,Southern,Public,matting,128.0,106.0,No,Yes,Yes,No,Yes,1.0,13.0,5639.0,2.0
105.0,Dehiwala S de S Jayasinghe College Ground,Dehiwala,Colombo,Western,School,matting,113.0,100.0,No,Yes,Yes,Yes,No,2.0,21.0,22909.0,3.0
106.0,Dehiwala Shasthrananda College Ground,Dehiwala,Colombo,Western,School,matting,115.0,101.0,No,Yes,Yes,Yes,No,2.0,48.0,20181.0,3.0
107.0,Dharmadutha College Ground,Badulla,Badulla,Uva,School,matting,117.0,101.0,No,Yes,Yes,Yes,No,2.0,45.0,21080.0,3.0
108.0,Dharmaraja College Ground,Kandy,Kandy,Central,School,turf,130.0,140.0,Yes,Yes,Yes,Yes,Yes,2.0,62.0,110050.0,4.0
109.0,Diyatalawa Garrison Ground,Diyatalawa,Badulla,Uva,Public,matting,112.0,115.0,No,Yes,Yes,No,Yes,1.0,12.0,17003.0,2.0
110.0,Dombagoda Ordnance Corps Intl Cricket Stadium,Dombagoda,Kalutara,Western,Public,turf,140.0,149.0,Yes,Yes,Yes,Yes,Yes,2.0,178.0,177564.0,5.0
111.0,Dombagoda Seelarathana School Ground,Dombagoda,Kalutara,Western,School,matting,118.0,100.0,No,Yes,Yes,Yes,No,2.0,42.0,46078.0,3.0
112.0,Eppawala Ground,Eppawala,Anuradhapura,North Central,Public,matting,114.0,120.0,No,Yes,Yes,No,Yes,1.0,16.0,18617.0,3.0
113.0,Eppawala Siddhartha College Ground,Eppawala,Anuradhapura,North Central,School,matting,110.0,102.0,No,Yes,Yes,Yes,No,2.0,22.0,30706.0,3.0
114.0,Erhiliwewa School Ground,Wellawaya,Monaragala,Uva,School,matting,125.0,95.0,No,Yes,Yes,Yes,No,2.0,37.0,20534.0,3.0
115.0,FTZ Sports Complex (BOI),Katunayake,Gampaha,Western,Public,turf,137.0,148.0,Yes,Yes,Yes,Yes,Yes,2.0,150.0,126348.0,5.0
116.0,Galagedara Sarath Amunugama Grounds,Galagedara,Kandy,Central,Public,matting,126.0,104.0,No,Yes,Yes,No,Yes,1.0,28.0,8326.0,3.0
117.0,Galle International Stadium,Galle,Galle,Southern,Public,turf,145.0,149.0,Yes,Yes,Yes,Yes,Yes,2.0,271.0,132661.0,5.0
118.0,Galle Municipal Ground,Galle,Galle,Southern,Public,matting,124.0,100.0,No,Yes,Yes,No,Yes,1.0,13.0,6655.0,2.0
119.0,Galle Sports Club Ground,Galle,Galle,Southern,Club,turf,141.0,150.0,Yes,Yes,Yes,Yes,Yes,2.0,197.0,148914.0,5.0
120.0,Galle Urban Council Ground,Galle,Galle,Southern,Public,matting,129.0,107.0,No,Yes,Yes,No,Yes,1.0,19.0,10365.0,3.0
121.0,Galore Stadium,Kandy,Kandy,Central,Public,turf,146.0,142.0,Yes,Yes,Yes,Yes,Yes,2.0,257.0,182202.0,5.0
122.0,Gamini College Play Ground,Bentota,Galle,Southern,School,matting,115.0,100.0,No,Yes,Yes,Yes,No,2.0,31.0,32736.0,3.0
123.0,Gampaha Bandaranayake College Ground,Gampaha,Gampaha,Western,School,matting,127.0,113.0,No,Yes,Yes,Yes,No,2.0,46.0,48377.0,3.0
124.0,Gampaha District Ground,Gampaha,Gampaha,Western,Public,matting,111.0,114.0,No,Yes,Yes,No,Yes,1.0,13.0,5589.0,2.0
125.0,Gampaha Esplanade,Gampaha,Gampaha,Western,Public,turf,139.0,148.0,Yes,Yes,Yes,Yes,Yes,2.0,193.0,178150.0,5.0
126.0,Gampaha Oval,Gampaha,Gampaha,Western,Public,turf,146.0,139.0,Yes,Yes,Yes,Yes,Yes,2.0,136.0,146666.0,4.0
127.0,Gampaha Public Ground,Gampaha,Gampaha,Western,Public,matting,108.0,120.0,No,Yes,Yes,No,Yes,1.0,25.0,15427.0,3.0
128.0,Gampaha Sports Club Ground,Gampaha,Gampaha,Western,Club,turf,140.0,146.0,Yes,Yes,Yes,Yes,Yes,2.0,115.0,192125.0,5.0
129.0,Gampaha Urban Council Ground,Gampaha,Gampaha,Western,Public,matting,121.0,113.0,No,Yes,Yes,No,Yes,1.0,18.0,14439.0,3.0
130.0,General Balagalle Cricket Stadium,Hikkaduwa,Galle,Southern,Public,turf,140.0,142.0,Yes,Yes,Yes,Yes,Yes,2.0,115.0,172125.0,5.0
131.0,General Ballagalla Stadium,Karandeniya,Galle,Southern,Public,turf,143.0,139.0,Yes,Yes,Yes,Yes,Yes,2.0,192.0,119619.0,4.0
132.0,Giriulla Wickramashila Grounds,Giriulla,Kurunegala,North Western,School,matting,111.0,110.0,No,Yes,Yes,Yes,No,2.0,29.0,27998.0,3.0
133.0,Habarana Secondary School Ground,Habarana,Anuradhapura,North Central,School,matting,112.0,96.0,No,Yes,Yes,Yes,No,2.0,20.0,30298.0,3.0
134.0,Hambantota District Sports Ground,Hambantota,Hambantota,Southern,Public,matting,125.0,119.0,No,Yes,Yes,No,Yes,1.0,18.0,4864.0,2.0
135.0,Hambantota Mahinda Rajapaksa Intl Cricket Stadium,Hambantota,Hambantota,Southern,Public,turf,150.0,148.0,Yes,Yes,Yes,Yes,Yes,2.0,209.0,195482.0,5.0
136.0,Hambantota Municipal Council Ground,Hambantota,Hambantota,Southern,Public,matting,115.0,98.0,No,Yes,Yes,No,Yes,1.0,16.0,5864.0,3.0
137.0,Hanwella Public Ground,Colombo,Colombo,Western,Public,matting,103.0,99.0,No,Yes,Yes,No,Yes,1.0,26.0,17720.0,3.0
138.0,Harendra Koraya Ground,Chilaw,Puttalam,North Western,Public,matting,116.0,119.0,No,Yes,Yes,No,Yes,1.0,12.0,11965.0,3.0
139.0,Hatton Darrawella Ground,Darrawella,Nuwara Eliya,Central,Club,turf,140.0,147.0,Yes,Yes,Yes,Yes,Yes,2.0,146.0,118844.0,5.0
140.0,Havelock Park,Colombo,Colombo,Western,Public,matting,118.0,108.0,No,Yes,Yes,No,Yes,1.0,29.0,16292.0,3.0
141.0,Henegama Central College Ground,Henegama,Gampaha,Western,School,matting,113.0,108.0,No,Yes,Yes,Yes,No,2.0,20.0,36630.0,3.0
142.0,Henegama Public Ground,Henegama,Gampaha,Western,Public,matting,107.0,119.0,No,Yes,Yes,No,Yes,1.0,12.0,3650.0,2.0
143.0,Hingurakgoda Polonnaruwa National Cricket Ground,Hingurakgoda,Polonnaruwa,North Central,Public,turf,143.0,136.0,Yes,Yes,Yes,Yes,Yes,2.0,108.0,178477.0,5.0
144.0,Hingurakgoda Public Ground,Hingurakgoda,Polonnaruwa,North Central,Public,matting,108.0,113.0,No,Yes,Yes,No,Yes,1.0,26.0,11128.0,3.0
145.0,Hingurakgoda Sports Ground,Hingurakgoda,Polonnaruwa,North Central,Public,matting,128.0,98.0,No,Yes,Yes,No,Yes,1.0,14.0,12296.0,3.0
146.0,Hingurakgoda Urban Council Ground,Hingurakgoda,Polonnaruwa,North Central,Public,matting,123.0,107.0,No,Yes,Yes,No,Yes,1.0,10.0,7802.0,2.0
147.0,Hingurakgoda Youth Ground,Hingurakgoda,Polonnaruwa,North Central,Public,matting,119.0,115.0,No,Yes,Yes,No,Yes,1.0,29.0,17872.0,3.0
147.0,Hingurakgoda Youth Ground,Hingurakgoda,Polonnaruwa,North Central,Public,matting,119.0,115.0,No,Yes,Yes,No,Yes,1.0,29.0,17872.0,3.0
148.0,Hikkaduwa Foundation of Goodness Grounds,Hikkaduwa,Galle,Southern,Private,matting,109.0,116.0,No,Yes,Yes,No,Yes,1.0,24.0,14735.0,3.0
149.0,Hikkaduwa Sri Sumangala College Ground,Hikkaduwa,Galle,Southern,School,matting,122.0,100.0,No,Yes,Yes,Yes,No,2.0,44.0,31506.0,3.0
150.0,Hikkaduwa Sports Ground,Hikkaduwa,Galle,Southern,Public,matting,127.0,108.0,No,Yes,Yes,No,Yes,1.0,15.0,19638.0,3.0
151.0,Homagama Mahinda Rajapaksha College Ground,Homagama,Colombo,Western,School,matting,127.0,99.0,No,Yes,Yes,Yes,No,2.0,35.0,21587.0,3.0
152.0,Homagama Public Ground,Homagama,Colombo,Western,Public,matting,110.0,111.0,No,Yes,Yes,No,Yes,1.0,30.0,7949.0,2.0
153.0,Horana Arons Cricket Club Ground,Horana,Kalutara,Western,Club,turf,136.0,140.0,Yes,Yes,Yes,Yes,Yes,2.0,146.0,128526.0,5.0
154.0,Horana Public Ground,Horana,Kalutara,Western,Public,matting,106.0,90.0,No,Yes,Yes,No,Yes,1.0,20.0,16762.0,3.0
155.0,Horana Royal College Ground,Horana,Kalutara,Western,School,matting,122.0,114.0,No,Yes,Yes,Yes,No,2.0,48.0,27121.0,3.0
156.0,Horana Taxila College Ground,Horana,Kalutara,Western,School,matting,114.0,100.0,No,Yes,Yes,Yes,No,2.0,36.0,43947.0,3.0
157.0,Horana Urban Council Ground,Horana,Kalutara,Western,Public,matting,108.0,118.0,No,Yes,Yes,No,Yes,1.0,11.0,6149.0,2.0
158.0,Hunumulla Kannagara College Ground,Hunumulla,Gampaha,Western,School,matting,113.0,97.0,No,Yes,Yes,Yes,No,2.0,28.0,32342.0,3.0
159.0,Ibbagamuwa Ground,Ibbagamuwa,Kurunegala,North Western,Public,matting,111.0,112.0,No,Yes,Yes,No,Yes,1.0,16.0,18921.0,2.0
160.0,Ibbagamuwa Public Ground,Ibbagamuwa,Kurunegala,North Western,Public,matting,121.0,120.0,No,Yes,Yes,No,Yes,1.0,22.0,5100.0,3.0
161.0,Ibbagamuwa St Anne's College Ground,Kurunegala,Kurunegala,North Western,School,matting,117.0,98.0,No,Yes,Yes,Yes,No,2.0,47.0,45310.0,3.0
162.0,Jaffna Central College Ground,Jaffna,Jaffna,Northern,School,matting,128.0,96.0,No,Yes,Yes,Yes,No,2.0,37.0,42901.0,3.0
163.0,Jaffna Hindu College Ground,Jaffna,Jaffna,Northern,School,matting,126.0,118.0,No,Yes,Yes,Yes,No,2.0,23.0,32432.0,3.0
164.0,Jaffna International Cricket Stadium,Mandaitivu,Jaffna,Northern,Public,turf,142.0,139.0,Yes,Yes,Yes,Yes,Yes,2.0,144.0,124159.0,5.0
165.0,Jaffna Mallakam Sri Baskaran Cricket Ground,Mallakam,Jaffna,Northern,Public,matting,112.0,119.0,No,Yes,Yes,No,Yes,1.0,12.0,10020.0,3.0
166.0,Jaffna Public Ground,Jaffna,Jaffna,Northern,Public,matting,105.0,115.0,No,Yes,Yes,No,Yes,1.0,27.0,10513.0,2.0
167.0,Jaffna Skandavarodaya College Ground,Jaffna,Jaffna,Northern,School,matting,121.0,96.0,No,Yes,Yes,Yes,No,2.0,44.0,43244.0,3.0
